Time (min),Temperature (C),TG (mg),Mass Percentage,Conversion
2.3834,81.95,8.2806,94.5673400865663,0.302935744762147
2.4,81.99,8.2737,94.4885396800018,0.307329809590524
2.4167,81.94,8.2669,94.4108813083152,0.311660192319939
2.4334,81.98,8.2601,94.3332229366285,0.315990575049354
2.45,81.64,8.2534,94.2567065998196,0.320257275679807
2.4667,82.19,8.2467,94.1801902630106,0.324523976310259
2.4834,82.11,8.2401,94.1048159610795,0.32872699484175
2.5,81.93,8.2336,94.030583694026,0.332866331274279
2.5167,81.82,8.227,93.9552093920949,0.337069349805769
2.5334,81.8,8.2205,93.8809771250414,0.341208686238298
2.55,82.05,8.2142,93.8090289277435,0.345220658472903
2.5667,81.72,8.2079,93.7370807304455,0.349232630707508
2.5834,82.06,8.2017,93.6662745680253,0.35318092084315
2.6,82.1,8.1954,93.5943263707274,0.357192893077756
2.6167,81.98,8.1892,93.5235202083072,0.361141183213399
2.6334,81.85,8.183,93.452714045887,0.365089473349042
2.65,81.8,8.1769,93.3830499183445,0.368974081385722
2.6667,82.07,8.1708,93.3133857908021,0.372858689422403
2.6834,81.85,8.1647,93.2437216632596,0.376743297459084
2.7,81.76,8.1588,93.1763416054726,0.380500541297841
2.7167,81.97,8.1528,93.1078195128079,0.38432146723556
2.7334,81.86,8.1469,93.040439455021,0.388078711074316
2.75,81.69,8.1411,92.9742014321117,0.391772272814112
2.7667,82.12,8.1353,92.9079634092025,0.395465834553906
2.7834,82.24,8.1296,92.8428674211711,0.39909571419474
2.8,82.21,8.1239,92.7777714331396,0.402725593835572
2.8167,82.19,8.1182,92.7126754451081,0.406355473476406
2.8334,82.45,8.1127,92.6498635268321,0.409857988919314
2.85,82.16,8.1071,92.5859095736784,0.413424186461185
2.8667,82.31,8.1017,92.5242396902801,0.416863019805133
2.8834,82.21,8.0963,92.4625698068819,0.42030185314908
2.9,82.12,8.0909,92.4008999234837,0.423740686493027
2.9167,82.11,8.0856,92.3403720749632,0.427115837738012
2.9334,82.19,8.0804,92.2809862613204,0.430427306884035
2.95,82.33,8.0752,92.2216004476777,0.433738776030057
2.9667,82.35,8.0701,92.1633566689127,0.436986563077119
2.9834,82.49,8.065,92.1051128901477,0.44023435012418
3,82.18,8.06,92.0480111462604,0.443418455072279
3.0167,82.09,8.0551,91.9920514372509,0.446538877921416
3.0334,82.36,8.0502,91.9360917282414,0.449659300770553
3.05,81.91,8.0454,91.8812740541096,0.452716041520728
3.0667,82.06,8.0406,91.8264563799778,0.455772782270904
3.0834,81.93,8.0359,91.7727807407238,0.458765840922117
3.1,82.17,8.0313,91.7202471363476,0.461695217474368
3.1167,81.93,8.0267,91.6677135319713,0.464624594026619
3.1334,82.17,8.0222,91.6163219624727,0.467490288479908
3.15,82.02,8.0177,91.5649303929742,0.470355982933198
3.1667,82.47,8.0133,91.5146808583534,0.473157995287525
3.1834,82.03,8.009,91.4655733586104,0.475896325542889
3.2,82.05,8.0047,91.4164658588673,0.478634655798255
3.2167,82.09,8.0005,91.3685003940021,0.481309303954658
3.2334,81.74,7.9963,91.3205349291367,0.483983952111062
3.25,82.08,7.9922,91.2737114991492,0.486594918168502
3.2667,82.32,7.9881,91.2268880691616,0.489205884225944
3.2834,82.21,7.9841,91.1812066740518,0.491753168184423
3.3,82.27,7.9801,91.135525278942,0.494300452142902
3.3167,82.21,7.9762,91.09098591871,0.49678405400242
3.3334,82.3,7.9723,91.0464465584779,0.499267655861937
3.35,82.11,7.9685,91.0030492331236,0.501687575622493
3.3667,82.06,7.9647,90.9596519077693,0.504107495383048
3.3834,82.28,7.961,90.9173966172927,0.506463733044641
3.4,82.26,7.9573,90.8751413268161,0.508819970706234
3.4167,82.21,7.9537,90.8340280712173,0.511112526268866
3.4334,82.34,7.9501,90.7929148156185,0.513405081831497
3.45,82.33,7.9466,90.7529435948974,0.515633955295166
3.4667,82.35,7.9431,90.7129723741763,0.517862828758836
3.4834,82.29,7.9396,90.6730011534552,0.520091702222505
3.5,82.22,7.9362,90.6341719676119,0.522256893587212
3.5167,82.16,7.9328,90.5953427817686,0.52442208495192
3.5334,82.16,7.9295,90.557655630803,0.526523594217665
3.55,82.26,7.9262,90.5199684798374,0.528625103483411
3.5667,82.31,7.923,90.4834233637495,0.530662930650194
3.5834,82.39,7.9198,90.4468782476617,0.532700757816977
3.6,82.3,7.9166,90.4103331315738,0.534738584983761
3.6167,82.05,7.9134,90.373788015486,0.536776412150544
3.6334,82.39,7.9103,90.3383849342759,0.538750557218366
3.65,82.32,7.9073,90.3041238879436,0.540661020187225
3.6667,82.24,7.9042,90.2687208067335,0.542635165255046
3.6834,82.76,7.9012,90.2344597604011,0.544545628223906
3.7,82.4,7.8983,90.2013407489465,0.546392409093804
3.7167,82.72,7.8953,90.1670797026141,0.548302872062663
3.7334,82.4,7.8924,90.1339606911595,0.55014965293256
3.75,82.35,7.8896,90.1019837145826,0.551932751703496
3.7667,82.68,7.8867,90.068864703128,0.553779532573393
3.7834,82.36,7.8839,90.0368877265512,0.555562631344329
3.8,82.19,7.8811,90.0049107499743,0.557345730115264
3.8167,82.53,7.8784,89.9740758082752,0.559065146787238
3.8334,82.44,7.8756,89.9420988316983,0.560848245558173
3.85,82.07,7.8729,89.9112638899992,0.562567662230147
3.8667,82.06,7.8702,89.8804289483001,0.56428707890212
3.8834,82.38,7.8676,89.8507360414787,0.565942813475132
3.9,82.25,7.865,89.8210431346574,0.567598548048143
3.9167,82.45,7.8624,89.791350227836,0.569254282621155
3.9334,82.45,7.8598,89.7616573210146,0.570910017194167
3.95,82.26,7.8572,89.7319644141932,0.572565751767178
3.9667,82.78,7.8547,89.7034135422496,0.574157804241228
3.9834,82.29,7.8522,89.674862670306,0.575749856715277
4,82.47,7.8497,89.6463117983623,0.577341909189326
4.0167,82.43,7.8472,89.6177609264187,0.578933961663376
4.0334,82.57,7.8448,89.5903520893528,0.580462332038464
4.05,82.4,7.8424,89.5629432522869,0.581990702413552
4.0667,82.32,7.84,89.5355344152211,0.583519072788639
4.0834,82.2,7.8376,89.5081255781552,0.585047443163727
4.1,82.37,7.8353,89.481858775967,0.586512131439852
4.1167,82.52,7.8329,89.4544499389012,0.588040501814939
4.1334,82.54,7.8306,89.428183136713,0.589505190091065
4.15,82.32,7.8283,89.4019163345249,0.590969878367191
4.1667,82.65,7.8261,89.3767915672145,0.592370884544354
4.1834,82.01,7.8238,89.3505247650263,0.59383557282048
4.2,82.25,7.8216,89.3253999977159,0.595236578997644
4.2167,82.31,7.8194,89.3002752304055,0.596637585174807
4.2334,82.09,7.8172,89.2751504630951,0.598038591351971
4.25,82.57,7.815,89.2500256957848,0.599439597529134
4.2667,82.15,7.8128,89.2249009284744,0.600840603706298
4.2834,82.39,7.8107,89.2009181960417,0.6021779277845
4.3,82.22,7.8086,89.1769354636091,0.603515251862701
4.3167,82.57,7.8065,89.1529527311764,0.604852575940903
4.3334,82.39,7.8044,89.1289699987438,0.606189900019104
4.35,82.55,7.8023,89.1049872663111,0.607527224097306
4.3667,82.47,7.8002,89.0810045338785,0.608864548175508
4.3834,82.42,7.7982,89.0581638363236,0.610138190154748
